season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2022,Chad Mascoe II,Campbell,3,17,6,0.13961165782729523,1,1,1,0,0
2022,Chad Mascoe II,Campbell,1,10,19,1.670678522708263,1,1,1,0,0
2022,Chad Mascoe II,Campbell,2,8,0,-1.0744871250513215,0,1,0,0,0
2022,Chad Mascoe II,Campbell,3,8,0,-0.9795810277823227,0,1,0,0,0
2022,Chad Mascoe II,Campbell,1,10,3,-0.2835190304977822,0,1,1,0,0
2022,Chad Mascoe II,Campbell,3,12,14,2.0776396792162153,1,1,1,0,0
2022,Chad Mascoe II,Campbell,2,4,1,-0.7225289421677195,0,1,1,0,0
2022,Chad Mascoe II,Campbell,3,3,0,-0.5139435334013278,0,1,0,0,0
2022,Chad Mascoe II,Campbell,1,10,15,1.4161732815879784,1,1,0,0,0
2022,Chad Mascoe II,Campbell,2,7,0,-1.1089110823389845,0,1,0,0,0
2022,Chad Mascoe II,Campbell,1,10,15,0.662270952144297,1,1,0,0,0
2022,Chad Mascoe II,Campbell,1,10,0,-0.557844891990525,0,1,0,0,0
2022,Chad Mascoe II,Campbell,3,22,-6,-0.7864935209669133,0,1,1,0,0
2022,Chad Mascoe II,Campbell,1,10,11,1.0578194730061268,1,1,1,0,0
2022,Chad Mascoe II,Campbell,1,20,0,-0.140464090692074,0,1,0,0,0
2022,Chad Mascoe II,Campbell,3,13,13,0.9592458423536172,1,1,1,0,0
2022,Chad Mascoe II,Campbell,1,10,9,1.1127415828278746,1,1,1,0,0
2022,Chad Mascoe II,Campbell,2,1,20,1.3499490088842891,1,1,1,0,0
2022,Chad Mascoe II,Campbell,1,10,6,0.353216982318957,1,1,1,0,0
2022,Chad Mascoe II,Campbell,2,4,0,-1.161605875616964,0,1,0,0,0
2022,Chad Mascoe II,Campbell,3,4,0,-1.084653861890837,0,1,0,0,0
2022,Chad Mascoe II,Campbell,4,4,0,-1.183590040918217,0,1,0,0,0
2022,Chad Mascoe II,Campbell,2,8,32,3.2298365371493922,1,1,1,0,0
2022,Chad Mascoe II,Campbell,4,12,0,0.35605196779123105,1,1,0,0,0
