player_name,draft_year,season,t,event
Tyrod Taylor,2011,2014,4,0
Tyrod Taylor,2011,2015,5,1
Andrew Luck,2012,2012,1,1
Brandon Weeden,2012,2012,1,1
Brock Osweiler,2012,2012,1,0
Brock Osweiler,2012,2013,2,0
Brock Osweiler,2012,2014,3,0
Brock Osweiler,2012,2015,4,0
Brock Osweiler,2012,2016,5,1
Kirk Cousins,2012,2012,1,0
Kirk Cousins,2012,2013,2,0
Kirk Cousins,2012,2014,3,0
Kirk Cousins,2012,2015,4,1
Nick Foles,2012,2012,1,0
Nick Foles,2012,2013,2,1
Robert Griffin III,2012,2012,1,1
Russell Wilson,2012,2012,1,1
Ryan Lindley,2012,2012,1,0
Ryan Lindley,2012,2013,2,0
Ryan Lindley,2012,2014,3,0
Ryan Lindley,2012,2015,4,0
Ryan Lindley,2012,2016,5,0
Ryan Tannehill,2012,2012,1,1
EJ Manuel,2013,2013,1,1
Geno Smith,2013,2013,1,1
Landry Jones,2013,2013,1,0
Landry Jones,2013,2014,2,0
Landry Jones,2013,2015,3,0
Landry Jones,2013,2016,4,0
Landry Jones,2013,2017,5,0
Matt Barkley,2013,2013,1,0
Matt Barkley,2013,2014,2,0
Matt Barkley,2013,2015,3,0
Matt Barkley,2013,2016,4,0
Matt Barkley,2013,2017,5,0
Mike Glennon,2013,2013,1,1
Ryan Nassib,2013,2013,1,0
Ryan Nassib,2013,2014,2,0
Ryan Nassib,2013,2015,3,0
Ryan Nassib,2013,2016,4,0
Ryan Nassib,2013,2017,5,0
Tyler Wilson,2013,2013,1,0
Tyler Wilson,2013,2014,2,0
Tyler Wilson,2013,2015,3,0
Tyler Wilson,2013,2016,4,0
Tyler Wilson,2013,2017,5,0
AJ McCarron,2014,2014,1,0
AJ McCarron,2014,2015,2,0
AJ McCarron,2014,2016,3,0
AJ McCarron,2014,2017,4,0
AJ McCarron,2014,2018,5,0
Aaron Murray,2014,2014,1,0
Aaron Murray,2014,2015,2,0
Aaron Murray,2014,2016,3,0
Aaron Murray,2014,2017,4,0
Aaron Murray,2014,2018,5,0
Blake Bortles,2014,2014,1,1
Derek Carr,2014,2014,1,1
Jimmy Garoppolo,2014,2014,1,0
Jimmy Garoppolo,2014,2015,2,0
Jimmy Garoppolo,2014,2016,3,0
Jimmy Garoppolo,2014,2017,4,0
Jimmy Garoppolo,2014,2018,5,0
Johnny Manziel,2014,2014,1,0
Johnny Manziel,2014,2015,2,0
Johnny Manziel,2014,2016,3,0
Johnny Manziel,2014,2017,4,0
Johnny Manziel,2014,2018,5,0
Logan Thomas,2014,2014,1,0
Logan Thomas,2014,2015,2,0
Logan Thomas,2014,2016,3,0
Logan Thomas,2014,2017,4,0
Logan Thomas,2014,2018,5,0
Teddy Bridgewater,2014,2014,1,1
Brett Hundley,2015,2015,1,0
Brett Hundley,2015,2016,2,0
Brett Hundley,2015,2017,3,1
Bryce Petty,2015,2015,1,0
Bryce Petty,2015,2016,2,0
Bryce Petty,2015,2017,3,0
Bryce Petty,2015,2018,4,0
Bryce Petty,2015,2019,5,0
Jameis Winston,2015,2015,1,1
Marcus Mariota,2015,2015,1,1
Sean Mannion,2015,2015,1,0
Sean Mannion,2015,2016,2,0
Sean Mannion,2015,2017,3,0
Sean Mannion,2015,2018,4,0
Sean Mannion,2015,2019,5,0
Trevor Siemian,2015,2015,1,0
Trevor Siemian,2015,2016,2,1
Brandon Allen,2016,2016,1,0
Brandon Allen,2016,2017,2,0
Brandon Allen,2016,2018,3,0
Brandon Allen,2016,2019,4,0
Brandon Allen,2016,2020,5,0
Brandon Doughty,2016,2016,1,0
Brandon Doughty,2016,2017,2,0
Brandon Doughty,2016,2018,3,0
Brandon Doughty,2016,2019,4,0
Brandon Doughty,2016,2020,5,0
Cardale Jones,2016,2016,1,0
Cardale Jones,2016,2017,2,0
Cardale Jones,2016,2018,3,0
Cardale Jones,2016,2019,4,0
Cardale Jones,2016,2020,5,0
Carson Wentz,2016,2016,1,1
Cody Kessler,2016,2016,1,0
Cody Kessler,2016,2017,2,0
Cody Kessler,2016,2018,3,0
Cody Kessler,2016,2019,4,0
Cody Kessler,2016,2020,5,0
Connor Cook,2016,2016,1,0
Connor Cook,2016,2017,2,0
Connor Cook,2016,2018,3,0
Connor Cook,2016,2019,4,0
Connor Cook,2016,2020,5,0
Dak Prescott,2016,2016,1,1
Jacoby Brissett,2016,2016,1,0
Jacoby Brissett,2016,2017,2,1
Jake Rudock,2016,2016,1,0
Jake Rudock,2016,2017,2,0
Jake Rudock,2016,2018,3,0
Jake Rudock,2016,2019,4,0
Jake Rudock,2016,2020,5,0
Jared Goff,2016,2016,1,0
Jared Goff,2016,2017,2,1
Jeff Driskel,2016,2016,1,0
Jeff Driskel,2016,2017,2,0
Jeff Driskel,2016,2018,3,0
Jeff Driskel,2016,2019,4,0
Jeff Driskel,2016,2020,5,0
Kevin Hogan,2016,2016,1,0
Kevin Hogan,2016,2017,2,0
Kevin Hogan,2016,2018,3,0
Kevin Hogan,2016,2019,4,0
Kevin Hogan,2016,2020,5,0
Nate Sudfeld,2016,2016,1,0
Nate Sudfeld,2016,2017,2,0
Nate Sudfeld,2016,2018,3,0
Nate Sudfeld,2016,2019,4,0
Nate Sudfeld,2016,2020,5,0
Paxton Lynch,2016,2016,1,0
Paxton Lynch,2016,2017,2,0
Paxton Lynch,2016,2018,3,0
Paxton Lynch,2016,2019,4,0
Paxton Lynch,2016,2020,5,0
C.J. Beathard,2017,2017,1,0
C.J. Beathard,2017,2018,2,0
C.J. Beathard,2017,2019,3,0
C.J. Beathard,2017,2020,4,0
C.J. Beathard,2017,2021,5,0
Davis Webb,2017,2017,1,0
Davis Webb,2017,2018,2,0
Davis Webb,2017,2019,3,0
Davis Webb,2017,2020,4,0
Davis Webb,2017,2021,5,0
DeShone Kizer,2017,2017,1,1
Deshaun Watson,2017,2017,1,0
Deshaun Watson,2017,2018,2,1
Joshua Dobbs,2017,2017,1,0
Joshua Dobbs,2017,2018,2,0
Joshua Dobbs,2017,2019,3,0
Joshua Dobbs,2017,2020,4,0
Joshua Dobbs,2017,2021,5,0
Nathan Peterman,2017,2017,1,0
Nathan Peterman,2017,2018,2,0
Nathan Peterman,2017,2019,3,0
Nathan Peterman,2017,2020,4,0
Nathan Peterman,2017,2021,5,0
Patrick Mahomes,2017,2017,1,0
Patrick Mahomes,2017,2018,2,1
Baker Mayfield,2018,2018,1,1
Danny Etling,2018,2018,1,0
Danny Etling,2018,2019,2,0
Danny Etling,2018,2020,3,0
Danny Etling,2018,2021,4,0
Danny Etling,2018,2022,5,0
Josh Allen,2018,2018,1,1
Josh Rosen,2018,2018,1,1
Kyle Lauletta,2018,2018,1,0
Kyle Lauletta,2018,2019,2,0
Kyle Lauletta,2018,2020,3,0
Kyle Lauletta,2018,2021,4,0
Kyle Lauletta,2018,2022,5,0
Lamar Jackson,2018,2018,1,0
Lamar Jackson,2018,2019,2,1
Logan Woodside,2018,2018,1,0
Logan Woodside,2018,2019,2,0
Logan Woodside,2018,2020,3,0
Logan Woodside,2018,2021,4,0
Logan Woodside,2018,2022,5,0
Mike White,2018,2018,1,0
Mike White,2018,2019,2,0
Mike White,2018,2020,3,0
Mike White,2018,2021,4,0
Mike White,2018,2022,5,0
Sam Darnold,2018,2018,1,1
Tanner Lee,2018,2018,1,0
Tanner Lee,2018,2019,2,0
Tanner Lee,2018,2020,3,0
Tanner Lee,2018,2021,4,0
Tanner Lee,2018,2022,5,0
Clayton Thorson,2019,2019,1,0
Clayton Thorson,2019,2020,2,0
Clayton Thorson,2019,2021,3,0
Clayton Thorson,2019,2022,4,0
Clayton Thorson,2019,2023,5,0
Daniel Jones,2019,2019,1,1
Drew Lock,2019,2019,1,0
Drew Lock,2019,2020,2,1
Dwayne Haskins,2019,2019,1,0
Dwayne Haskins,2019,2020,2,0
Dwayne Haskins,2019,2021,3,0
Dwayne Haskins,2019,2022,4,0
Dwayne Haskins,2019,2023,5,0
Jarrett Stidham,2019,2019,1,0
Jarrett Stidham,2019,2020,2,0
Jarrett Stidham,2019,2021,3,0
Jarrett Stidham,2019,2022,4,0
Jarrett Stidham,2019,2023,5,0
Kyler Murray,2019,2019,1,1
Ryan Finley,2019,2019,1,0
Ryan Finley,2019,2020,2,0
Ryan Finley,2019,2021,3,0
Ryan Finley,2019,2022,4,0
Ryan Finley,2019,2023,5,0
Will Grier,2019,2019,1,0
Will Grier,2019,2020,2,0
Will Grier,2019,2021,3,0
Will Grier,2019,2022,4,0
Will Grier,2019,2023,5,0
Ben DiNucci,2020,2020,1,0
Ben DiNucci,2020,2021,2,0
Ben DiNucci,2020,2022,3,0
Ben DiNucci,2020,2023,4,0
Ben DiNucci,2020,2024,5,0
Jacob Eason,2020,2020,1,0
Jacob Eason,2020,2021,2,0
Jacob Eason,2020,2022,3,0
Jacob Eason,2020,2023,4,0
Jacob Eason,2020,2024,5,0
Jake Fromm,2020,2020,1,0
Jake Fromm,2020,2021,2,0
Jake Fromm,2020,2022,3,0
Jake Fromm,2020,2023,4,0
Jake Fromm,2020,2024,5,0
Jake Luton,2020,2020,1,0
Jake Luton,2020,2021,2,0
Jake Luton,2020,2022,3,0
Jake Luton,2020,2023,4,0
Jake Luton,2020,2024,5,0
Jalen Hurts,2020,2020,1,0
Jalen Hurts,2020,2021,2,1
James Morgan,2020,2020,1,0
James Morgan,2020,2021,2,0
James Morgan,2020,2022,3,0
James Morgan,2020,2023,4,0
James Morgan,2020,2024,5,0
Joe Burrow,2020,2020,1,1
Justin Herbert,2020,2020,1,1
Nate Stanley,2020,2020,1,0
Nate Stanley,2020,2021,2,0
Nate Stanley,2020,2022,3,0
Nate Stanley,2020,2023,4,0
Nate Stanley,2020,2024,5,0
Tua Tagovailoa,2020,2020,1,0
Tua Tagovailoa,2020,2021,2,1
Davis Mills,2021,2021,1,1
Ian Book,2021,2021,1,0
Ian Book,2021,2022,2,0
Ian Book,2021,2023,3,0
Ian Book,2021,2024,4,0
Ian Book,2021,2025,5,0
Justin Fields,2021,2021,1,1
Kellen Mond,2021,2021,1,0
Kellen Mond,2021,2022,2,0
Kellen Mond,2021,2023,3,0
Kellen Mond,2021,2024,4,0
Kellen Mond,2021,2025,5,0
Kyle Trask,2021,2021,1,0
Kyle Trask,2021,2022,2,0
Kyle Trask,2021,2023,3,0
Kyle Trask,2021,2024,4,0
Kyle Trask,2021,2025,5,0
Mac Jones,2021,2021,1,1
Sam Ehlinger,2021,2021,1,0
Sam Ehlinger,2021,2022,2,0
Sam Ehlinger,2021,2023,3,0
Sam Ehlinger,2021,2024,4,0
Sam Ehlinger,2021,2025,5,0
Trevor Lawrence,2021,2021,1,1
Zach Wilson,2021,2021,1,1
Bailey Zappe,2022,2022,1,0
Bailey Zappe,2022,2023,2,0
Bailey Zappe,2022,2024,3,0
Bailey Zappe,2022,2025,4,0
Brock Purdy,2022,2022,1,0
Brock Purdy,2022,2023,2,1
Desmond Ridder,2022,2022,1,0
Desmond Ridder,2022,2023,2,1
Kenny Pickett,2022,2022,1,1
Malik Willis,2022,2022,1,0
Malik Willis,2022,2023,2,0
Malik Willis,2022,2024,3,0
Malik Willis,2022,2025,4,0
Sam Howell,2022,2022,1,0
Sam Howell,2022,2023,2,1
Skylar Thompson,2022,2022,1,0
Skylar Thompson,2022,2023,2,0
Skylar Thompson,2022,2024,3,0
Skylar Thompson,2022,2025,4,0
Aidan O'Connell,2023,2023,1,1
Anthony Richardson,2023,2023,1,0
Anthony Richardson,2023,2024,2,1
Bryce Young,2023,2023,1,1
C.J. Stroud,2023,2023,1,1
Clayton Tune,2023,2023,1,0
Clayton Tune,2023,2024,2,0
Clayton Tune,2023,2025,3,0
Dorian Thompson-Robinson,2023,2023,1,0
Dorian Thompson-Robinson,2023,2024,2,0
Dorian Thompson-Robinson,2023,2025,3,0
Hendon Hooker,2023,2023,1,0
Hendon Hooker,2023,2024,2,0
Hendon Hooker,2023,2025,3,0
Jaren Hall,2023,2023,1,0
Jaren Hall,2023,2024,2,0
Jaren Hall,2023,2025,3,0
Max Duggan,2023,2023,1,0
Max Duggan,2023,2024,2,0
Max Duggan,2023,2025,3,0
Sean Clifford,2023,2023,1,0
Sean Clifford,2023,2024,2,0
Sean Clifford,2023,2025,3,0
Stetson Bennett,2023,2023,1,0
Stetson Bennett,2023,2024,2,0
Stetson Bennett,2023,2025,3,0
Tanner McKee,2023,2023,1,0
Tanner McKee,2023,2024,2,0
Tanner McKee,2023,2025,3,0
Will Levis,2023,2023,1,0
Will Levis,2023,2024,2,1
Bo Nix,2024,2024,1,1
Caleb Williams,2024,2024,1,1
Devin Leary,2024,2024,1,0
Devin Leary,2024,2025,2,0
Drake Maye,2024,2024,1,1
J.J. McCarthy,2024,2024,1,0
J.J. McCarthy,2024,2025,2,1
Jayden Daniels,2024,2024,1,1
Joe Milton,2024,2024,1,0
Joe Milton,2024,2025,2,0
Michael Pratt,2024,2024,1,0
Michael Pratt,2024,2025,2,0
Spencer Rattler,2024,2024,1,0
Spencer Rattler,2024,2025,2,0
Graham Mertz,2025,2025,1,0
Cam Miller,2025,2025,1,0
Dillon Gabriel,2025,2025,1,0
Jalen Milroe,2025,2025,1,0
Jaxson Dart,2025,2025,1,1
Kurtis Rourke,2025,2025,1,0
Kyle McCord,2025,2025,1,0
Quinn Ewers,2025,2025,1,0
Riley Leonard,2025,2025,1,0
Shedeur Sanders,2025,2025,1,0
Tommy Mellott,2025,2025,1,0
Tyler Shough,2025,2025,1,1
Will Howard,2025,2025,1,0
