player_name,college,draft_year,final_season,draft_round,draft_pick,pass_attempts,completions,passing_yards,passing_tds,interceptions,games_played,opponents
Jameis Winston,Florida State,2015,2014,1,1,,,,,,14,
Marcus Mariota,Oregon,2015,2014,1,2,,,,,,15,
Garrett Grayson,Colorado State,2015,2014,3,75,,,,,,13,
Sean Mannion,Oregon State,2015,2014,3,89,,,,,,12,
Bryce Petty,Baylor,2015,2014,4,103,,,,,,13,
Brett Hundley,UCLA,2015,2014,5,147,,,,,,13,
Trevor Siemian,Northwestern,2015,2014,7,250,,,,,,12,
Jared Goff,California,2016,2015,1,1,,,,,,13,
Carson Wentz,North Dakota State,2016,2015,1,2,,,,,,15,
Paxton Lynch,Memphis,2016,2015,1,26,,,,,,13,
Christian Hackenberg,Penn State,2016,2015,2,51,,,,,,13,
Jacoby Brissett,NC State,2016,2015,3,91,,,,,,13,
Cody Kessler,USC,2016,2015,3,93,,,,,,14,
Connor Cook,Michigan State,2016,2015,4,100,,,,,,14,
Dak Prescott,Mississippi State,2016,2015,4,135,,,,,,13,
Cardale Jones,Ohio State,2016,2015,4,139,,,,,,13,
Kevin Hogan,Stanford,2016,2015,5,162,,,,,,14,
Nate Sudfeld,Indiana,2016,2015,6,187,,,,,,13,
Jake Rudock,Michigan,2016,2015,6,191,,,,,,13,
Brandon Allen,Arkansas,2016,2015,6,201,,,,,,13,
Jeff Driskel,Louisiana Tech,2016,2015,6,207,,,,,,13,
Brandon Doughty,Western Kentucky,2016,2015,7,223,,,,,,14,
Mitchell Trubisky,North Carolina,2017,2016,1,2,,,,,,13,
Patrick Mahomes,Texas Tech,2017,2016,1,10,,,,,,12,
Deshaun Watson,Clemson,2017,2016,1,12,,,,,,15,
DeShone Kizer,Notre Dame,2017,2016,2,52,,,,,,12,
Davis Webb,California,2017,2016,3,87,,,,,,12,
C.J. Beathard,Iowa,2017,2016,3,104,,,,,,13,
Joshua Dobbs,Tennessee,2017,2016,4,135,,,,,,13,
Nathan Peterman,Pittsburgh,2017,2016,5,171,,,,,,13,
Brad Kaaya,Miami (FL),2017,2016,6,215,,,,,,0,
Chad Kelly,Mississippi,2017,2016,7,253,,,,,,0,
Baker Mayfield,Oklahoma,2018,2017,1,1,,,,,,14,
Sam Darnold,USC,2018,2017,1,3,,,,,,14,
Josh Allen,Wyoming,2018,2017,1,7,,,,,,13,
Josh Rosen,UCLA,2018,2017,1,10,,,,,,13,
Lamar Jackson,Louisville,2018,2017,1,32,,,,,,13,
Mason Rudolph,Oklahoma St.,2018,2017,3,76,,,,,,0,
Kyle Lauletta,Richmond,2018,2017,4,108,,,,,,11,
Mike White,Western Kentucky,2018,2017,5,171,,,,,,13,
Luke Falk,Washington St.,2018,2017,6,199,,,,,,0,
Tanner Lee,Nebraska,2018,2017,6,203,,,,,,12,
Danny Etling,LSU,2018,2017,7,219,,,,,,13,
Alex McGough,Florida International,2018,2017,7,220,,,,,,13,
Logan Woodside,Toledo,2018,2017,7,249,,,,,,14,
Kyler Murray,Oklahoma,2019,2018,1,1,,,,,,14,
Daniel Jones,Duke,2019,2018,1,6,,,,,,13,
Dwayne Haskins,Ohio State,2019,2018,1,15,,,,,,14,
Drew Lock,Missouri,2019,2018,2,42,,,,,,13,
Will Grier,West Virginia,2019,2018,3,100,,,,,,12,
Ryan Finley,NC State,2019,2018,4,104,,,,,,13,
Jarrett Stidham,Auburn,2019,2018,4,133,,,,,,13,
Easton Stick,North Dakota State,2019,2018,5,166,,,,,,15,
Clayton Thorson,Northwestern,2019,2018,5,167,,,,,,14,
Gardner Minshew II,Washington St.,2019,2018,6,178,,,,,,0,
Trace McSorley,Penn State,2019,2018,6,197,,,,,,13,
Joe Burrow,LSU,2020,2019,1,1,,,,,,15,
Tua Tagovailoa,Alabama,2020,2019,1,5,,,,,,13,
Justin Herbert,Oregon,2020,2019,1,6,,,,,,14,
Jordan Love,Utah St.,2020,2019,1,26,,,,,,0,
Jalen Hurts,Oklahoma,2020,2019,2,53,,,,,,14,
Jacob Eason,Washington,2020,2019,4,122,,,,,,13,
James Morgan,Florida International,2020,2019,4,125,,,,,,13,
Jake Fromm,Georgia,2020,2019,5,167,,,,,,14,
Jake Luton,Oregon State,2020,2019,6,189,,,,,,12,
Cole McDonald,Hawaii,2020,2019,7,224,,,,,,0,
Ben DiNucci,James Madison,2020,2019,7,231,,,,,,16,
Tommy Stevens,Mississippi State,2020,2019,7,240,,,,,,13,
Nate Stanley,Iowa,2020,2019,7,244,,,,,,13,
Trevor Lawrence,Clemson,2021,2020,1,1,,,,,,12,
Zach Wilson,BYU,2021,2020,1,2,,,,,,12,
Trey Lance,North Dakota State,2021,2020,1,3,,,,,,10,
Justin Fields,Ohio State,2021,2020,1,11,,,,,,8,
Mac Jones,Alabama,2021,2020,1,15,,,,,,13,
Kyle Trask,Florida,2021,2020,2,64,,,,,,12,
Kellen Mond,Texas A&M,2021,2020,3,66,,,,,,10,
Davis Mills,Stanford,2021,2020,3,67,,,,,,6,
Ian Book,Notre Dame,2021,2020,4,133,,,,,,12,
Sam Ehlinger,Texas,2021,2020,6,218,,,,,,10,
Kenny Pickett,Pittsburgh,2022,2021,1,20,,,,,,14,
Desmond Ridder,Cincinnati,2022,2021,3,74,,,,,,14,
Malik Willis,Liberty,2022,2021,3,86,,,,,,13,
Matt Corral,Mississippi,2022,2021,3,94,,,,,,0,
Bailey Zappe,Western Kentucky,2022,2021,4,137,,,,,,14,
Sam Howell,North Carolina,2022,2021,5,144,,,,,,13,
Chris Oladokun,South Dakota St.,2022,2021,7,241,,,,,,0,
Skylar Thompson,Kansas St.,2022,2021,7,247,,,,,,0,
Brock Purdy,Iowa State,2022,2021,7,262,,,,,,13,
Bryce Young,Alabama,2023,2022,1,1,,,,,,13,
C.J. Stroud,Ohio State,2023,2022,1,2,,,,,,13,
Anthony Richardson,Florida,2023,2022,1,4,,,,,,13,
Will Levis,Kentucky,2023,2022,2,33,,,,,,13,
Hendon Hooker,Tennessee,2023,2022,3,68,,,,,,13,
Jake Haener,Fresno State,2023,2022,4,127,,,,,,14,
Stetson Bennett,Georgia,2023,2022,4,128,,,,,,15,
Aidan O'Connell,Purdue,2023,2022,4,135,,,,,,14,
Clayton Tune,Houston,2023,2022,5,139,,,,,,13,
Dorian Thompson-Robinson,UCLA,2023,2022,5,140,,,,,,13,
Sean Clifford,Penn State,2023,2022,5,149,,,,,,13,
Jaren Hall,BYU,2023,2022,5,164,,,,,,13,
Tanner McKee,Stanford,2023,2022,6,188,,,,,,12,
Max Duggan,TCU,2023,2022,7,239,,,,,,15,
