player_name,draft_year,draft_pick,college,college_college,final_season,draft_round,pass_attempts,completions,passing_yards,passing_tds,interceptions,games_played,opponents,leaf_name,college_nfl,nfl_team,round,pick,rookie_games,rookie_attempts,rookie_leaf_mean,rookie_leaf_final,rookie_leaf_std,rookie_leaf_min,rookie_leaf_max,rookie_epa_mean,rookie_cpoe_mean,college_games_played,competition_tier,sos_sp_plus,team_sp_plus
JaMarcus Russell,2007,1,LSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brady Quinn,2007,22,Notre Dame,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Kolb,2007,36,Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Beck,2007,40,BYU,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drew Stanton,2007,43,Michigan State,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Edwards,2007,92,Stanford,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Stanback,2007,103,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troy Smith,2007,174,Ohio State,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Ryan,2008,3,Boston College,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Flacco,2008,18,Delaware,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Brohm,2008,56,Louisville,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad Henne,2008,57,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John David Booty,2008,131,USC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dennis Dixon,2008,156,Oregon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Stafford,2009,1,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Sanchez,2009,5,USC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Freeman,2009,17,Kansas State,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pat White,2009,44,West Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen McGee,2009,101,Texas A&M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Brandstater,2009,168,Fresno State,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhett Bomar,2009,197,Sam Houston State,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Bradford,2010,1,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Tebow,2010,25,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Clausen,2010,48,Notre Dame,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colt McCoy,2010,85,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Crompton,2010,168,Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Pike,2010,178,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan LeFevour,2010,182,Central Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cam Newton,2011,1,Auburn,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Locker,2011,8,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaine Gabbert,2011,10,Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Ponder,2011,12,Florida State,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andy Dalton,2011,35,TCU,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colin Kaepernick,2011,36,Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Mallett,2011,74,Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricky Stanzi,2011,135,Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Enderle,2011,160,Idaho,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrod Taylor,2011,180,Virginia Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Luck,2012,1,Stanford,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Griffin III,2012,2,Baylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Tannehill,2012,8,Texas A&M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Weeden,2012,22,Oklahoma State,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brock Osweiler,2012,57,Arizona State,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russell Wilson,2012,75,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Foles,2012,88,Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirk Cousins,2012,102,Michigan State,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Lindley,2012,185,San Diego State,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EJ Manuel,2013,16,Florida State,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geno Smith,2013,39,West Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Glennon,2013,73,NC State,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Barkley,2013,98,USC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Nassib,2013,110,Syracuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Wilson,2013,112,Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landry Jones,2013,115,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Bortles,2014,3,UCF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnny Manziel,2014,22,Texas A&M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teddy Bridgewater,2014,32,Louisville,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derek Carr,2014,36,Fresno State,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Garoppolo,2014,62,Eastern Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,
