season,team,conference,overall_rating,offense_rating,defense_rating,special_teams_rating
2004,USC,Big Ten,32.3,45.2,14.3,
2004,Oklahoma,SEC,28.8,44.2,17.1,
2004,Auburn,SEC,27.3,39.3,12.5,
2004,Miami,ACC,26.8,41.3,16.5,
2004,California,ACC,26.7,43.6,19.2,
2004,Texas,SEC,24.7,43.1,20.3,
2004,Louisville,ACC,24.0,50.7,32.1,
2004,Utah,Big 12,23.6,49.3,29.4,
2004,Georgia,SEC,21.8,35.2,14.1,
2004,Arizona State,Big 12,20.7,42.0,23.7,
2004,Florida State,ACC,20.2,32.7,13.4,
2004,Virginia,ACC,20.0,38.4,19.5,
2004,Iowa,Big Ten,20.0,34.4,15.3,
2004,Virginia Tech,ACC,19.9,35.4,16.9,
2004,LSU,SEC,19.5,36.2,18.4,
2004,Texas Tech,Big 12,19.5,45.2,30.0,
2004,Boise State,Pac-12,19.3,50.9,36.9,
2004,Texas A&M,SEC,18.6,40.0,24.0,
2004,Purdue,Big Ten,18.3,38.0,21.3,
2004,Ohio State,Big Ten,17.5,33.3,17.4,
2004,Michigan,Big Ten,17.5,40.3,25.5,
2004,Oregon State,Pac-12,17.5,39.1,23.3,
2004,Florida,SEC,17.1,39.4,25.0,
2004,Tennessee,SEC,16.1,38.8,24.7,
2004,Arkansas,SEC,15.4,39.7,26.7,
2004,Fresno State,Pac-12,14.9,43.8,32.1,
2004,Oklahoma State,Big 12,13.1,40.3,29.7,
2004,North Carolina,ACC,12.8,39.6,28.7,
2004,Notre Dame,FBS Independents,12.6,34.9,23.7,
2004,Georgia Tech,ACC,12.4,30.4,19.1,
2004,Bowling Green,Mid-American,11.9,45.9,36.7,
2004,Minnesota,Big Ten,10.7,36.2,27.8,
2004,Wisconsin,Big Ten,10.5,26.2,16.9,
2004,UCLA,Big Ten,10.0,38.5,30.4,
2004,Kansas,Big 12,9.8,31.5,23.2,
2004,Alabama,SEC,9.2,27.8,19.2,
2004,UTEP,Mountain West,9.0,42.1,35.1,
2004,Boston College,ACC,8.5,29.0,21.6,
2004,Stanford,ACC,8.2,29.6,22.7,
2004,West Virginia,Big 12,8.1,33.8,27.6,
2004,NC State,ACC,8.1,29.9,23.3,
2004,Kansas State,Big 12,7.9,40.8,34.9,
2004,BYU,Big 12,7.8,34.4,28.3,
2004,Colorado,Big 12,7.8,32.9,27.0,
2004,Penn State,Big Ten,7.4,22.5,15.9,
2004,Cincinnati,Big 12,7.1,36.5,31.7,
2004,Clemson,ACC,7.1,28.6,22.7,
2004,South Carolina,SEC,6.4,28.7,23.4,
2004,Pittsburgh,ACC,6.4,32.1,27.4,
2004,New Mexico,Mountain West,5.4,25.6,21.0,
2004,Maryland,Big Ten,5.1,24.5,20.0,
2004,Michigan State,Big Ten,4.9,36.8,33.6,
2004,Troy,Sun Belt,4.6,26.3,22.7,
2004,Syracuse,ACC,4.4,33.6,31.2,
2004,Northern Illinois,Mountain West,4.0,39.3,36.0,
2004,Northwestern,Big Ten,3.9,33.8,31.6,
2004,Iowa State,Big 12,3.9,28.1,25.4,
2004,Oregon,Big Ten,3.7,32.6,30.4,
2004,Louisiana Tech,Sun Belt,3.5,36.2,34.2,
2004,Arizona,Big 12,3.1,26.3,24.0,
2004,Memphis,American Athletic,2.8,41.3,38.9,
2004,Nebraska,Big Ten,1.9,31.1,30.2,
